Ubicazione;TipoVia;DescrizioneVia;Civico;CodiceVia;ZD;superficie_altri_usi;superficie_lavorativa;tipo_eser_pa;;;;;;;
"VIA QUADRONNO N. 34 ; (z.d. 1)";VIA ;QUADRONNO;34;4021;1;;25;Parrucchiere per signora;;;;;;;
"VIA RIPAMONTI GIUSEPPE N. 19 ; (z.d. 5)";VIA ;RIPAMONTI GIUSEPPE;19;4066;5;2;20;Parrucchiere per uomo;;;;;;;
"VIA SANTA CROCE N. 1 ; (z.d. 1)";VIA ;SANTA CROCE;1;5188;1;;35;"ACCONCIATORE;TIPO A - REG.2003";;;;;;;
"VIA SANTA MARIA VALLE N. 1 ; (z.d. 1)";VIA ;SANTA MARIA VALLE;1;535;1;;;Parrucchiere per uomo;;;;;;;
"VIA SANTA MARIA VALLE N. 1 ; (z.d. 1)";VIA ;SANTA MARIA VALLE;1;535;1;;70;"Parrucchiere per signora;TIPO A ESTETICA MANUALE";;;;;;;
"VIA SAN MARTINO N. 15 ; (z.d. 1)";VIA ;SAN MARTINO;15;4016;1;;;Parrucchiere per signora;;;;;;;
"VIA SANTA SOFIA N. 18 ; (z.d. 1)";VIA ;SANTA SOFIA;18;408;1;;;"ACCONCIATORE;TIPO A - REG.2003";;;;;;;
"VIA STAMPA N. 1 ; (z.d. 1)";VIA ;STAMPA;1;538;1;4;17;Parrucchiere per signora;;;;;;;
"VIA TORINO N. 23 ; (z.d. 1)";VIA ;TORINO;23;543;1;;55;"Parrucchiere per signora;TIPO A-B-C-D";;;;;;;
"VIA TORINO N. 57 2^ piano; (z.d. 1)";VIA ;TORINO;57;543;1;;32;TIPO A ESTETICA MANUALE;;;;;;;
"VIA DELL' UNIONE N. 4 ; (z.d. 1)";VIA ;DELL' UNIONE;4;521;1;;48;Parrucchiere per signora;;;;;;;
"PZA DE ANGELI ERNESTO N. 1 ; (z.d. 7)";PZA ;DE ANGELI ERNESTO;1;6276;7;;80;"Parrucchiere per uomo;TIPO A ESTETICA MANUALE;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA URBANO III N. 3 ; (z.d. 1)";VIA ;URBANO III;3;588;1;4;16;Acconciatore;;;;;;;
"VIA URBANO III N. 3 ; (z.d. 1)";VIA ;URBANO III;3;588;1;;17;Parrucchiere misto;;;;;;;
"VIA VETTABBIA N. 1 ; (z.d. 1)";VIA ;VETTABBIA;1;5187;1;8;17;ACCONCIATORE;;;;;;;
"VIA AGNELLO N. 18 ; (z.d. 1)";VIA ;AGNELLO;18;209;1;;100;ACCONCIATORE;;;;;;;
"VIA MANIN DANIELE N. 3 ; (z.d. 1)";VIA ;MANIN DANIELE;3;1052;1;;;Parrucchiere per signora;;;;;;;
"CSO MATTEOTTI GIACOMO N. 1 ; (z.d. 1)";CSO ;MATTEOTTI GIACOMO;1;218;1;;;"Parrucchiere per signora;TIPO A ESTETICA MANUALE;TIPO D ESTET.APPAR.ELETTROMECC;TIPO C TRATT.ESTETICI DIMAGRIM;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA ANTONINI GIACOMO N. 62 ; (z.d. 5)";VIA ;ANTONINI GIACOMO;62;4250;5;8;22;Parrucchiere per uomo;;;;;;;
"VLE BACCHIGLIONE N. 2 ; (z.d. 4)";VLE ;BACCHIGLIONE;2;4171;4;3;15;Parrucchiere per signora;;;;;;;
"VIA BARABINO NICOLO' N. 7 ; (z.d. 4)";VIA ;BARABINO NICOLO';7;4287;4;;25;Parrucchiere per signora;;;;;;;
"VIA BENACO N. 26 ; (z.d. 5)";VIA ;BENACO;26;4143;5;;17;Parrucchiere per signora;;;;;;;
"VIA BESSARIONE N. 12 ; (z.d. 4)";VIA ;BESSARIONE;12;4152;4;9;17;Acconciatore;;;;;;;
"VIA ROMILLI ARCIVESCOVO N. 29 ; (z.d. 4)";VIA ;ROMILLI ARCIVESCOVO;29;4154;4;;39;Parrucchiere per signora;;;;;;;
"VIA BIONDELLI BERNARDINO N. 1 ; (z.d. 5)";VIA ;BIONDELLI BERNARDINO;1;4236;5;2;70;Parrucchiere per uomo;;;;;;;
"VIA BONCOMPAGNI CARLO N. 10 ; (z.d. 4)";VIA ;BONCOMPAGNI CARLO;10;4182;4;3;12;"Parrucchiere per uomo;Pedicure estetico";;;;;;;
"VIA BONCOMPAGNI CARLO N. 10 ; (z.d. 4)";VIA ;BONCOMPAGNI CARLO;10;4182;4;4;21;Parrucchiere per signora;;;;;;;
"VIA BONCOMPAGNI CARLO N. 36 ; (z.d. 4)";VIA ;BONCOMPAGNI CARLO;36;4182;4;;29;Parrucchiere per signora;;;;;;;
"PZA BONOMELLI GEREMIA N. 4 ; (z.d. 5)";PZA ;BONOMELLI GEREMIA;4;4150;4;;33;Parrucchiere per signora;;;;;;;
"PZA BONOMELLI GEREMIA N. 4 ; (z.d. 5)";PZA ;BONOMELLI GEREMIA;4;4150;4;;16;Parrucchiere per uomo;;;;;;;
"VIA VALLARSA N. 1 ; (z.d. 5)";VIA ;VALLARSA;1;4142;5;3;12;Parrucchiere per signora;;;;;;;
"VLE BRENTA N. 8 ; (z.d. 4)";VLE ;BRENTA;8;4151;4;13;24;Parrucchiere per signora;;;;;;;
"VLE BRENTA N. 39 ; (z.d. 4)";VLE ;BRENTA;39;4151;4;;55;Parrucchiere per signora;;;;;;;
"VIA BRIZI EUGENIO N. 1 ; (z.d. 4)";VIA ;BRIZI EUGENIO;1;4186;4;;14;ACCONCIATORE;;;;;;;
"PZA CHIARADIA ENRICO N. 9 ; (z.d. 5)";PZA ;CHIARADIA ENRICO;9;4252;5;3;16;Parrucchiere per signora;;;;;;;
"VIA DEI CINQUECENTO N. 3 ; (z.d. 4)";VIA ;DEI CINQUECENTO;3;4283;4;;34;Parrucchiere per signora;;;;;;;
"VIA DEI CINQUECENTO N. 27 ; (z.d. 4)";VIA ;DEI CINQUECENTO;27;4283;4;;;TIPO A - REG.2003;;;;;;;
"VIA DEI CINQUECENTO N. 27 ; (z.d. 4)";VIA ;DEI CINQUECENTO;27;4283;4;;22;Parrucchiere per signora;;;;;;;
PLE CORVETTO LUIGI EMANUELE N. 3 (z.d. 4);PLE ;CORVETTO LUIGI EMANUELE;3;4174;4;;25;Parrucchiere per uomo;;;;;;;
"PLE FERRARA N. 4 ; (z.d. 4)";PLE ;FERRARA;4;4158;4;;90;Parrucchiere per signora;;;;;;;
"VIA GAMBOLOITA N. 7 ; (z.d. 4)";VIA ;GAMBOLOITA;7;4160;4;;25;Parrucchiere per signora;;;;;;;
"VIA OSIMO AUGUSTO N. 3 ; (z.d. 4)";VIA ;OSIMO AUGUSTO;3;4303;4;4;31;"Parrucchiere per uomo;Parrucchiere per signora;Parrucchiere misto";;;;;;;
"VIA POLESINE N. 25 ; (z.d. 4)";VIA ;POLESINE;25;4159;4;1;17;ACCONCIATORE;;;;;;;
"VIA POLESINE N. 25 ; (z.d. 4)";VIA ;POLESINE;25;4159;4;4;33;ACCONCIATORE;;;;;;;
"VIA VIGEVANO N. 45 ; (z.d. 6)";VIA ;VIGEVANO;45;5116;6;;64;Parrucchiere per signora;;;;;;;
"VIA RAVENNA N. 14 ; (z.d. 4)";VIA ;RAVENNA;14;4281;4;;32;Parrucchiere misto;;;;;;;
"VIA RIPAMONTI GIUSEPPE N. 190 ; (z.d. 5)";VIA ;RIPAMONTI GIUSEPPE;190;4066;5;;;Parrucchiere per signora;;;;;;;
"VIA RIPAMONTI GIUSEPPE N. 191 ; (z.d. 5)";VIA ;RIPAMONTI GIUSEPPE;191;4066;5;;24;Parrucchiere per uomo;;;;;;;
"VIA RIPAMONTI GIUSEPPE N. 193 ; (z.d. 5)";VIA ;RIPAMONTI GIUSEPPE;193;4066;5;5;21;Parrucchiere per signora;;;;;;;
VIA RIPAMONTI GIUSEPPE N. 219 (z.d. 5);VIA ;RIPAMONTI GIUSEPPE;219;4066;5;;44;Parrucchiere per signora;;;;;;;
"VIA RIPAMONTI GIUSEPPE N. 219 ; (z.d. 5)";VIA ;RIPAMONTI GIUSEPPE;219;4066;5;;24;Parrucchiere per uomo;;;;;;;
"VIA RIPAMONTI GIUSEPPE N. 236 ; (z.d. 5)";VIA ;RIPAMONTI GIUSEPPE;236;4066;5;;30;Parrucchiere per signora;;;;;;;
"VIA RIPAMONTI GIUSEPPE N. 244 ; (z.d. 5)";VIA ;RIPAMONTI GIUSEPPE;244;4066;5;8;35;ACCONCIATORE;;;;;;;
"VIA RIVA DI TRENTO N. 2 ; (z.d. 4)";VIA ;RIVA DI TRENTO;2;4155;4;;;Parrucchiere per uomo;;;;;;;
"VIA RUTILIA N. 4 ; (z.d. 5)";VIA ;RUTILIA;4;4229;5;2;15;Parrucchiere per uomo;;;;;;;
"VIA RUTILIA N. 4 ; (z.d. 5)";VIA ;RUTILIA;4;4229;5;;29;"Parrucchiere per signora;TIPO A ESTETICA MANUALE;TIPO D ESTET.APPAR.ELETTROMECC;TIPO C TRATT.ESTETICI DIMAGRIM";;;;;;;
"VIA SALO' N. 1 ; (z.d. 4)";VIA ;SALO';1;4117;4;;19;Parrucchiere per uomo;;;;;;;
"VIA SERLIO SEBASTIANO N. 11 ; (z.d. 4)";VIA ;SERLIO SEBASTIANO;11;4176;4;;34;Parrucchiere per signora;;;;;;;
