Ubicazione;TipoVia;DescrizioneVia;Civico;CodiceVia;ZD;forma_commercio;forma_commercio_prev;forma_vendita;fuori_piano;insegna;settore_storico_pe;superficie_somministrazione
"VLE MONZA N. 222 (interno mm1-precotto);ingresso via 9102 num.000; isolato:998; accesso: accesso interno; (z.d. 2)";VLE ;MONZA;222;2274;2;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.c;pretty bar;"BAR CAFFÈ E SIMILI;Cibi cotti preconfezionati;Bar gastronomici e simili;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.";41
"VLE LOMBARDIA N. 65 c/o circolo arci; isolato:007; accesso: accesso esterno; (z.d. 3)";VLE ;LOMBARDIA;65;2400;3;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.e;;"BAR CAFFÈ;Elettr.Automatici Meccaniche";180
"VIA BATTAGLIA NATALE N. 14 ; isolato:346; accesso: accesso esterno; (z.d. 2)";VIA ;BATTAGLIA NATALE;14;2268;2;;somministrazione;al banco;art.3 comma 6 lett.d;arizona 2000;"BAR CAFFÈ;Sale da ballo, locali notturni;Genere Merceol.Autorizz.Sanit.";780
"VIA VARANINI LUIGI N. 2 ; isolato:322; accesso: accesso esterno; (z.d. 2)";VIA ;VARANINI LUIGI;2;2288;2;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;sala da ballo;"Discoteche,sale ballo notturni;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Sale da ballo, locali notturni";200
"codvia 9105 mm1 rovere; isolato:995; accesso: accesso interno; (z.d. 2)";;;;;;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.c;;"Tavola fredda;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Cibi cotti preconfezionati";52
"codvia 9106 mm1 pasteu; isolato:994; accesso: accesso interno; (z.d. 2)";;;;;;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.c;bar;"Cibi cotti preconfezionati;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFFÈ";44
"VIA MAYER SALLY N. 6 scuola comunita' israelitica; isolato:073; accesso: accesso interno; (z.d. 6)";VIA ;MAYER SALLY;6;6810;6;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.g;;Mensa;794
"VIA VESPRI SICILIANI N. 55 c/o istituto suore orsoline; isolato:148; accesso: accesso interno; (z.d. 6)";VIA ;VESPRI SICILIANI;55;5137;6;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.g;;"BAR CAFFÈ;Tavola fredda";100
"codvia 9103 mm1 gorla; isolato:997; accesso: accesso interno; (z.d. 2)";;;;;;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.c;bar caffe;"Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Bar gastronomici e simili";69
"PZA NOVELLI ERMETE N. 1 aeronautica mensa sottufficial; isolato:153; accesso: accesso interno; (z.d. 3)";PZA ;NOVELLI ERMETE;1;3110;3;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.g;;Mensa;450
"PZA NOVELLI ERMETE N. 1 aeronautica mensa ufficiali; isolato:153; accesso: accesso interno; (z.d. 3)";PZA ;NOVELLI ERMETE;1;3110;3;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.g;;Mensa;500
