Ubicazione;TipoVia;DescrizioneVia;Civico;CodiceVia;ZD;insegna;settore_merceologico;superficie_altri_usi;superficie_totale;superficie_vendita
"VIA VENINI GIULIO E CORRADO N. 46 ; isolato:346; accesso: accesso esterno; (z.d. 2)";VIA ;VENINI GIULIO E CORRADO;46;2258;2;;non alimentare;22;273;251
"VIA SANDRI SANDRO N. 2 ; isolato:179; accesso: accesso esterno; (z.d. 1)";VIA ;SANDRI SANDRO;2;1046;1;;non alimentare;;251;251
"CSO MATTEOTTI GIACOMO N. 3 ;cso matteotti giacomo 003; isolato:362; accesso: accesso esterno; (z.d. 1)";CSO ;MATTEOTTI GIACOMO;3;218;1;lalique;non alimentare;10;262;252
"VIA SARPI FRA' PAOLO N. 44 ; isolato:073; accesso: accesso esterno; (z.d. 8)";VIA ;SARPI FRA' PAOLO;44;7210;8;;"alimentare;non alimentare";;252;252
"VIA VILLAPIZZONE num.012; isolato:171; accesso: accesso esterno; (z.d. 8)";VIA ;VILLAPIZZONE;;7272;8;verzeri;non alimentare;;252;252
"VIA MUSSI GIUSEPPE N. 5 ; isolato:056; accesso: accesso interno; (z.d. 8)";VIA ;MUSSI GIUSEPPE;5;7199;8;riparaz. contachilometri;non alimentare;;252;252
"VIA QUINTILIANO MARCO FABIO N. 33 ; isolato:073; accesso: area ap.rec.; (z.d. 4)";VIA ;QUINTILIANO MARCO FABIO;33;3358;4;spaccio aziendale;non alimentare;;252;252
"VIA GALLARATE N. 219 ; isolato:179; accesso: accesso interno; (z.d. 8)";VIA ;GALLARATE;219;7420;8;;non alimentare;;253;253
"VIA SAN SISTO N. 3 ;via san sisto 003; isolato:335; accesso: accesso esterno; (z.d. 1)";VIA ;SAN SISTO;3;513;1;il bagno ideale;non alimentare;;254;254
"VIA F.LLI LORENZETTI N. 4 ; isolato:010; accesso: accesso interno; (z.d. 7)";VIA ;F.LLI LORENZETTI;4;6604;7;spaccio zucchi;non alimentare;;254;254
"CSO LODI N. 60 ; isolato:021; accesso: accesso esterno; (z.d. 4)";CSO ;LODI;60;4068;4;;non alimentare;;255;255
"VIA CAPECELATRO ALFONSO N. 9 ; isolato:278; accesso: accesso esterno; (z.d. 7)";VIA ;CAPECELATRO ALFONSO;9;6575;7;mercato dell usato;non alimentare;;255;255
"VIA SANTA CECILIA N. 4 ;via santa cecilia 004; isolato:190; accesso: accesso esterno; (z.d. 1)";VIA ;SANTA CECILIA;4;349;1;;non alimentare;;255;255
"VIA TITO LIVIO N. 30 ; isolato:146; accesso: accesso esterno; (z.d. 4)";VIA ;TITO LIVIO;30;4086;4;mercedes benz milano;non alimentare;;255;255
"VIA ARBE N. 47 interno superspacci alimentari; isolato:086; accesso: accesso esterno; (z.d. 2)";VIA ;ARBE;47;1352;2;il mercatino di via arbe;"alimentare;non alimentare";80;336;256
"VIA VIGEVANO N. 22 ; isolato:052; accesso: accesso esterno; (z.d. 6)";VIA ;VIGEVANO;22;5116;6;fontana arredamenti;non alimentare;;256;256
"CSO SEMPIONE N. 21 ; isolato:096; accesso: accesso esterno; (z.d. 8)";CSO ;SEMPIONE;21;7137;8;;non alimentare;18;274;256
"VIA ARIMONDI GIUSEPPE N. 55 ; isolato:308; accesso: accesso esterno; (z.d. 8)";VIA ;ARIMONDI GIUSEPPE;55;7179;8;autoriparazioni salvioni;non alimentare;300;556;256
"PZA MENTANA N. 3 ;pza mentana 003; isolato:349; accesso: accesso esterno; (z.d. 1)";PZA ;MENTANA;3;560;1;arc linea;non alimentare;;257;257
"VIA TRIVULZIO ANTONIO TOLOMEO N. 15 ; isolato:014; accesso: accesso interno; (z.d. 7)";VIA ;TRIVULZIO ANTONIO TOLOMEO;15;6277;7;italbar;"alimentare;non alimentare";;257;257
"VIA MANZONI ALESSANDRO N. 31 ;via manzoni alessandro 031; isolato:254; accesso: accesso esterno; (z.d. 1)";VIA ;MANZONI ALESSANDRO;31;230;1;armani giorgio retail srl;non alimentare;;257;257
"CSO MAGENTA N. 31 ;cso magenta 031; isolato:341; accesso: accesso esterno; (z.d. 1)";CSO ;MAGENTA;31;604;1;buscemi dischi;non alimentare;;258;258
"PZA DELLA SCALA N. 5 ;pza della scala 005; isolato:479; accesso: accesso esterno; (z.d. 1)";PZA ;DELLA SCALA;5;201;1;trussardi;Non Alimentare;;258;258
"VIA ROSMINI ANTONIO N. 11 ; isolato:110; accesso: accesso esterno; (z.d. 1)";VIA ;ROSMINI ANTONIO;11;7132;1;kathay china food store;"alimentare;non alimentare";;259;259
"VIA SANTA TECLA N. 5 ;via santa tecla 005; isolato:389; accesso: accesso esterno; (z.d. 1)";VIA ;SANTA TECLA;5;321;1;il libraccio;non alimentare;;260;260
"VIA MAMBRETTI ANTONIO N. 29 ; isolato:112; accesso: accesso esterno; (z.d. 8)";VIA ;MAMBRETTI ANTONIO;29;7455;8;salina albera;non alimentare;;260;260
"CSO VENEZIA N. 29 ;cso venezia 029; isolato:186; accesso: accesso esterno; (z.d. 1)";CSO ;VENEZIA;29;238;1;renco di macri  roberto;non alimentare;214;474;260
"CSO MONFORTE N. 2 ;cso monforte 002; isolato:264; accesso: accesso esterno; (z.d. 1)";CSO ;MONFORTE;2;348;1;splendori;non alimentare;;260;260
"VIA BERTANI AGOSTINO N. 2 ; isolato:135; accesso: accesso esterno; (z.d. 1)";VIA ;BERTANI AGOSTINO;2;7112;1;di  x di;"alimentare;non alimentare";;365;260
VIA CUSANI N. 10 (z.d. 1);VIA ;CUSANI;10;719;1;;non alimentare;;261;261
"VIA OLONA N. 25 ; isolato:224; accesso: accesso interno; (z.d. 1)";VIA ;OLONA;25;5090;1;;non alimentare;;261;261
"VIA MONTE NAPOLEONE N. 20 ;via monte napoleone 020/4; isolato:258; accesso: accesso esterno; (z.d. 1)";VIA ;MONTE NAPOLEONE;20;219;1;salvatore ferragamo;Non Alimentare;;579;263
"CSO LODI N. 47 ; isolato:182; accesso: accesso esterno; (z.d. 4)";CSO ;LODI;47;4068;4;;non alimentare;52;315;263
"VIA QUARENGHI GIACOMO N. 23 ; isolato:300; accesso: accesso interno; (z.d. 8)";VIA ;QUARENGHI GIACOMO;23;7478;8;libri e cose;non alimentare;2;265;263
"VIA INGANNI ANGELO N. 64 ; isolato:055; accesso: accesso esterno; (z.d. 6)";VIA ;INGANNI ANGELO;64;6672;6;2f climatizzazione;non alimentare;;300;264
VIA SAVONA N. 25 (z.d. 5);VIA ;SAVONA;25;5122;6;;non alimentare;;265;265
VIA VISCONTI DI MODRONE UBERTO N. 12 (z.d. 1);VIA ;VISCONTI DI MODRONE UBERTO;12;361;1;;non alimentare;;265;265
"VIA MOROSINI EMILIO N. 7 ; isolato:046; accesso: accesso esterno; (z.d. 4)";VIA ;MOROSINI EMILIO;7;3073;4;bellani;non alimentare;;265;265
"VIA LAMARMORA ALFONSO N. 21 ; isolato:114; accesso: accesso esterno; (z.d. 1)";VIA ;LAMARMORA ALFONSO;21;4103;1;willy sport;non alimentare;;266;266
