ID;Sito;Zona;Attiva;Codice;Longitudine;Latitudine
1;Affori FN;9;1;A0081;9,167406;45,522835
2;Arco Della Pace;1;0;A0044;9,17246;45,47567
3;Bastioni di Porta Nuova 23;1;1;E0725;9,192273;45,478577
4;Corso di Porta Romana 116;1;1;E0473;9,199076;45,454094
5;Corso Vittorio Emanuele;1;1;A0108;9,195012;45,465225
6;Corso XXII Marzo 16;4;1;E0464;9,210202;45,46209
7;Galleria Ciro Fontana 1;1;1;E0016;9,191297;45,465649
8;Galleria Vittorio Emanuele;1;1;A0113;9,189885;45,465611
9;Giardini Aldo Protti;2;1;A0050;9,198428;45,491337
10;Giardini Cislaghi;2;1;A0049;9,230108;45,512756
11;Giardini Erodoto;2;1;A0003;9,222939;45,508739
12;Giardini Gregor Mendel;2;1;A0051;9,196923;45,489635
13;Giardini Marinai D'italia;4;1;A0055;9,215553;45,460941
14;Giardini piazza Carrara;5;1;A0066;9,175358;45,437931
15;Giardini Sarca/Emanueli;9;1;A0079;9,209182;45,516022
16;Giardini Tremelloni;2;1;A0048;9,233025;45,513294
17;Giardini Via Aicardo;5;1;A0063;9,185692;45,439987
18;Giardini Via Anassagora;2;1;A0047;9,231139;45,514839
19;Giardini Via Gregorovius;9;1;A0082;9,196931;45,514503
20;Giardini Viale Cermenate;5;1;A0065;9,180797;45,43755
21;Largo Aldo De Benedetti 1;9;1;E0027;9,194352;45,485855
22;Largo Ascari;6;1;A0024;9,167775;45,443619
23;Largo Cairoli;1;1;A0119;9,182257;45,468193
24;Largo Treves 1;1;1;E0011;9,186616;45,475246
25;Ospedale Maggiore 3;9;1;E0728;9,189571;45,509235
26;Parco Alessandrini;4;1;A0060;9,243997;45,44371
27;Parco Baravalle;5;1;A0062;9,183488;45,446724
28;Parco Chiesa Rossa;5;0;A0061;9,173877;45,430771
29;Parco delle Cave;7;0;A0073;9,099953;45,469421
30;Parco Ex Trotter;2;1;A0052;9,224257;45,494087
31;Parco Solari;6;1;A0068;9,165663;45,457783
32;Parco Via Croce/ Omodeo;8;1;A0038;9,117749;45,494228
33;Parco Villa Scheibler;8;1;A0132;9,133465;45,516235
34;Piazza dei Mercanti;1;1;A0117;9,187529;45,464649
35;Piazza Abbiategrasso;5;1;A0023;9,178028;45,429901
36;Piazza Agrippa 12;5;1;A0064;9,183856;45,433193
37;Piazza Amendola;8;1;A0036;9,151051;45,474033
38;Piazza Argentina;3;1;A0013;9,214995;45,484241
39;Piazza Axum;7;1;A0128;9,123292;45,47604
40;Piazza Beccaria / Fontana;1;1;A0045;9,195464;45,464336
41;Piazza Bottini;3;1;A0014;9,236046;45,484669
42;Piazza Buonarroti;7;1;A0027;9,155193;45,47068
43;Piazza Cadorna;1;1;A0043;9,176668;45,468189
44;Piazza caduti e dispersi in russia 1;3;1;E0103;9,254479;45,490952
45;Piazza Caiazzo;2;1;A0009;9,209685;45,48539
46;Piazza Castello;1;1;A0118;9,180421;45,469639
47;Piazza Cordusio;1;1;A0111;9,186339;45,465469
48;Piazza De Angeli;7;1;A0028;9,1495;45,466709
49;Piazza della Scala;1;1;A0114;9,19019;45,466858
50;Piazza Diaz;1;1;A0104;9,189883;45,462395
51;Piazza Duca D'aosta;2;1;A0007;9,203007;45,484577
52;Piazza Duomo  lato Via Mercanti;1;1;A0112;9,188759;45,464611
53;Piazza Duomo  lato Via Orefici;1;1;A0105;9,188766;45,463734
54;Piazza Duomo / Arcivescovado;1;1;A0103;9,192475;45,463795
55;Piazza Duomo / Corso Vittorio Emanuele;1;1;A0101;9,192497;45,464619
56;Piazza Duomo / Palazzo Reale;1;1;A0102;9,190681;45,463589
57;Piazza Duomo / Via San Raffaele;1;1;A0107;9,191294;45,464737
58;Piazza Duomo 10-14 (palazzo Reale);1;0;E0070;9,190866;45,463341
59;Piazza Emilia;4;1;A0056;9,216631;45,462425
60;Piazza Esquilino;7;1;A0130;9,133481;45,475842
61;Piazza Grandi;4;1;A0057;9,220673;45,462418
62;Piazza IV Novembre;2;1;A0008;9,202309;45,486893
63;Piazza Leonardo da Vinci;3;1;A0054;9,225449;45,478149
64;Piazza Liberty;1;1;A0046;9,194101;45,465511
65;Piazza Lima;3;1;A0016;9,21096;45,480232
66;Piazza Medaglie D'oro;4;1;A0022;9,202112;45,452187
67;Piazza Napoli;6;1;A0069;9,15371;45,453102
68;Piazza Piemonte;7;1;A0030;9,155206;45,466766
69;Piazza Piola;3;1;A0015;9,223701;45,480305
70;Piazza Precotto;2;1;A0005;9,224579;45,512352
