Ubicazione;TipoVia;DescrizioneVia;Civico;CodiceVia;ZD;forma_commercio;forma_commercio_prev;forma_vendita;settore_storico_pe;superficie_somministrazione;tipo_eser_storico_pe
"VIA LODOVICO IL MORO N. 147 ; isolato:035; accesso: accesso esterno; (z.d. 6)";VIA ;LODOVICO IL MORO;147;5290;6;solo somministrazione;somministrazione;al banco;"BAR CAFFÈ;BAR CAFFÈ E SIMILI;Trattoria;Genere Merceol.Autorizz.Sanit.;Giochi Legge 388/2000";193;bar caffè
"VIA LODOVICO IL MORO N. 131 ; isolato:037; accesso: accesso esterno; (z.d. 6)";VIA ;LODOVICO IL MORO;131;5290;6;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Disco-piano-americ.bar serali;BAR CAFFÈ;Tavola fredda;Ristorante, trattoria, osteria;Ristorante";124;bar caffè
"VIA BARDOLINO N. 30 ; isolato:105; accesso: accesso esterno; (z.d. 6)";VIA ;BARDOLINO;30;5360;6;solo somministrazione;somministrazione;al tavolo;"Cucina tipica lombarda;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Ristorante";119;ristorante
"PLE NEGRELLI LUIGI N. 4 ; isolato:024; accesso: accesso esterno; (z.d. 6)";PLE ;NEGRELLI LUIGI;4;5368;6;solo somministrazione;somministrazione;al banco;;38;bar caffè
"VIA BOFFALORA N. 116 ; isolato:093; accesso: accesso esterno; (z.d. 6)";VIA ;BOFFALORA;116;5359;6;solo somministrazione;somministrazione;misto;"Ristorante;Disco-piano-americ.bar serali;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ";120;ristorante
"VIA LODOVICO IL MORO N. 159 ; isolato:035; accesso: accesso esterno; (z.d. 6)";VIA ;LODOVICO IL MORO;159;5290;6;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Pizzeria;BAR CAFFÈ;Giochi Legge 388/2000;Bar gastronomici e simili;Trattoria";50;trattoria
"VIA LODOVICO IL MORO N. 185 ; isolato:034; accesso: accesso esterno; (z.d. 6)";VIA ;LODOVICO IL MORO;185;5290;6;;somministrazione;al banco;"BAR CAFFÈ E SIMILI;Bar gastronomici e simili;Tavola fredda;Genere Merceol.Autorizz.Sanit.";45;bar caffè
"VIA ORNATO LUIGI N. 44 ; isolato:073; accesso: accesso esterno; (z.d. 9)";VIA ;ORNATO LUIGI;44;1591;9;somministrazione/minuto;somministrazione;misto;"Ristorante;BAR CAFFÈ;Giochi Legge 388/2000;BAR CAFFÈ E SIMILI;Ristorante, trattoria, osteria";90;bar caffè
"VIA ORNATO LUIGI N. 47 ; isolato:064; accesso: accesso esterno; (z.d. 9)";VIA ;ORNATO LUIGI;47;1591;9;solo somministrazione;somministrazione;misto;"Ristorante;BAR CAFFÈ;Pizzeria;Genere Merceol.Autorizz.Sanit.";87;pizzeria
"VIA ORNATO LUIGI N. 8 ; isolato:070; accesso: accesso esterno; (z.d. 9)";VIA ;ORNATO LUIGI;8;1591;9;solo somministrazione;somministrazione;misto;"Ristorante;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI;BAR CAFFÈ;Ristorante, trattoria, osteria";103;ristorante
"VIA FOPPA VINCENZO N. 58 ; isolato:310; accesso: accesso esterno; (z.d. 6)";VIA ;FOPPA VINCENZO;58;6109;6;somministrazione/minuto;somministrazione;al banco;"Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;Tavola fredda;Bar gastronomici e simili;BAR CAFFÈ;BAR CAFFÈ E SIMILI";35;bar caffè
"VIA RONCAGLIA N. 3 ; isolato:291; accesso: accesso esterno; (z.d. 6)";VIA ;RONCAGLIA;3;6122;6;solo somministrazione;somministrazione;misto;"Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÈ";33;bar caffè
"VIA RONCAGLIA N. 35 ; isolato:290; accesso: accesso esterno; (z.d. 6)";VIA ;RONCAGLIA;35;6122;6;solo somministrazione;somministrazione;misto;"BAR CAFFÈ;Bar pasticc.gelat.crem.creper.;Bar gastronomici e simili;Cibi cotti preconfezionati;Wine,birr.,pub enot.,caff.,the;Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI";59;bar caffè
"VIA WASHINGTON GIORGIO N. 56 ; isolato:253; accesso: accesso esterno; (z.d. 7)";VIA ;WASHINGTON GIORGIO;56;6111;7;solo somministrazione;somministrazione;misto;"BAR CAFFÈ E SIMILI;Wine,birr.,pub enot.,caff.,the;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÈ;Tavola fredda";56;bar caffè
"VIA WASHINGTON GIORGIO N. 52 ; isolato:253; accesso: accesso esterno; (z.d. 7)";VIA ;WASHINGTON GIORGIO;52;6111;7;solo somministrazione;somministrazione;al tavolo;"Pizzeria;Ristorante, trattoria, osteria;Trattoria";60;pizzeria
"VIA WASHINGTON GIORGIO N. 74 ; isolato:286; accesso: accesso esterno; (z.d. 7)";VIA ;WASHINGTON GIORGIO;74;6111;7;solo somministrazione;somministrazione;misto;"BAR CAFFÈ;Ristorante, trattoria, osteria;BAR CAFFÈ E SIMILI;Ristorante";86;ristorante
"VIA WASHINGTON GIORGIO N. 60 ; isolato:253; accesso: accesso esterno; (z.d. 7)";VIA ;WASHINGTON GIORGIO;60;6111;7;solo somministrazione;somministrazione;misto;"Bar gastronomici e simili;Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ";68;bar caffè
"VIA WASHINGTON GIORGIO N. 76 ; isolato:286; accesso: accesso esterno; (z.d. 7)";VIA ;WASHINGTON GIORGIO;76;6111;7;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Bar gastronomici e simili;Tavola fredda;Prodotti di gastronomia";46;bar caffè
"VIA WASHINGTON GIORGIO N. 88 ; isolato:304; accesso: accesso esterno; (z.d. 6)";VIA ;WASHINGTON GIORGIO;88;6111;6;somministrazione/minuto;somministrazione;al banco;"Giochi Legge 388/2000;BAR CAFFÈ E SIMILI;BAR CAFFÈ;Bar gastronomici e simili;Cibi cotti preconfezionati;Tavola fredda";96;bar caffè
"VIA WASHINGTON GIORGIO N. 82 ; isolato:303; accesso: accesso esterno; (z.d. 6)";VIA ;WASHINGTON GIORGIO;82;6111;6;;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI;BAR CAFFÈ";23;bar caffè
"VIA WASHINGTON GIORGIO N. 82 ; isolato:303; accesso: accesso esterno; (z.d. 6)";VIA ;WASHINGTON GIORGIO;82;6111;6;solo somministrazione;somministrazione;misto;"Giochi Legge 388/2000;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Tavola fredda;Prodotti di gastronomia";25;bar caffè
"PZA IRNERIO CARLO N. 10 ; isolato:264; accesso: accesso esterno; (z.d. 7)";PZA ;IRNERIO CARLO;10;6256;7;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÈ;Cibi cotti preconfezionati";57;bar caffè
"PZA IRNERIO CARLO N. 1 ; isolato:253; accesso: accesso esterno; (z.d. 7)";PZA ;IRNERIO CARLO;1;6256;7;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Prodotti di gastronomia;Bar gastronomici e simili";32;bar caffè
"VIA SARDEGNA N. 45 ; isolato:250; accesso: accesso esterno; (z.d. 7)";VIA ;SARDEGNA;45;6265;7;solo somministrazione;somministrazione;misto;"Pizzeria;Tavola calda;BAR CAFFÈ;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.";109;tavola calda
"VIA TRIESTE N. 17 ; isolato:249; accesso: accesso esterno; (z.d. 7)";VIA ;TRIESTE;17;6261;7;solo somministrazione;somministrazione;misto;"BAR CAFFÈ E SIMILI;Tavola calda;Ristorante, trattoria, osteria;Giochi Legge 388/2000;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.";157;bar caffè
"VIA SACCO LUIGI N. 3 ; isolato:213; accesso: accesso esterno; (z.d. 7)";VIA ;SACCO LUIGI;3;6275;7;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Tavola calda;BAR CAFFÈ E SIMILI;Cibi cotti preconfezionati;Ristorante, trattoria, osteria;BAR CAFFÈ";138;bar caffè
"VIA SACCO LUIGI N. 7 ; isolato:213; accesso: accesso esterno; (z.d. 7)";VIA ;SACCO LUIGI;7;6275;7;solo somministrazione;somministrazione;al banco;"BAR CAFFÈ;Cibi cotti preconfezionati;Bar gastronomici e simili;Tavola fredda;Genere Merceol.Autorizz.Sanit.";35;bar caffè
"VIA DEI GRACCHI N. 26 ; isolato:219; accesso: accesso esterno; (z.d. 7)";VIA ;DEI GRACCHI;26;6271;7;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Bar gastronomici e simili;Tavola fredda;Cibi cotti preconfezionati";145;bar caffè
"VIA DEI MARTINITT N. 3 ; isolato:218; accesso: accesso esterno; (z.d. 7)";VIA ;DEI MARTINITT;3;6336;7;solo somministrazione;somministrazione;al banco;"Prodotti di gastronomia;BAR CAFFÈ E SIMILI;Bar gastronomici e simili;Tavola fredda;BAR CAFFÈ";57;bar caffè
"VIA DELLE FORZE ARMATE N. 333 ; isolato:157; accesso: accesso esterno; (z.d. 7)";VIA ;DELLE FORZE ARMATE;333;6643;7;solo somministrazione;somministrazione;misto;"Bar pasticc.gelat.crem.creper.;BAR CAFFÈ E SIMILI;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Pizzerie e simili;Pizzeria;Ristorante, trattoria, osteria";55;pizzeria
"VLE MONZA N. 208 ; isolato:101; accesso: accesso esterno; (z.d. 2)";VLE ;MONZA;208;2274;2;solo somministrazione;somministrazione;misto;"Bar pasticc.gelat.crem.creper.;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÈ";61;bar caffè
"VLE MONZA N. 212 ; isolato:101; accesso: accesso esterno; (z.d. 2)";VLE ;MONZA;212;2274;2;solo somministrazione;somministrazione;misto;"Tav.calde,self service,fast f.;BAR CAFFÈ;Giochi Legge 388/2000;Genere Merceol.Autorizz.Sanit.;Tavola calda";107;bar caffè
"VLE MONZA N. 220 ; isolato:101; accesso: accesso esterno; (z.d. 2)";VLE ;MONZA;220;2274;2;solo somministrazione;somministrazione;al banco;"Trattoria;Ristorante, trattoria, osteria;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI";156;tavola calda
"VIA CISLAGHI LUIGI N. 8 ; isolato:105; accesso: accesso esterno; (z.d. 2)";VIA ;CISLAGHI LUIGI;8;2474;2;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Cucina tipica lombarda;Trattoria;BAR CAFFÈ";85;trattoria
"VIA CISLAGHI LUIGI N. 8 ; isolato:101; accesso: accesso esterno; (z.d. 2)";VIA ;CISLAGHI LUIGI;8;2474;2;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Ristorante;Pizzeria";110;pizzeria
"VIA PECCHIO GIUSEPPE N. 5 ; isolato:009; accesso: accesso esterno; (z.d. 3)";VIA ;PECCHIO GIUSEPPE;5;2240;3;solo somministrazione;somministrazione;misto;"BAR CAFFÈ;Pizzeria;Tavola calda";80;pizzeria
"VLE ABRUZZI N. 87 ; isolato:010; accesso: accesso esterno; (z.d. 3)";VLE ;ABRUZZI;87;2177;3;;somministrazione;al banco;"Tavola fredda;Cibi cotti preconfezionati;Bar gastronomici e simili;BAR CAFFÈ";40;bar caffè
"VLE ABRUZZI N. 83 ; isolato:019; accesso: accesso esterno; (z.d. 3)";VLE ;ABRUZZI;83;2177;3;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Trattoria;Genere Merceol.Autorizz.Sanit.";38;trattoria
"CSO BUENOS AIRES N. 90 ; isolato:008; accesso: accesso esterno; (z.d. 3)";CSO ;BUENOS AIRES;90;2129;3;somministrazione/minuto;somministrazione;al banco;"Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÈ";47;bar caffè
"CSO BUENOS AIRES N. 75 ; isolato:007; accesso: accesso esterno; (z.d. 3)";CSO ;BUENOS AIRES;75;2129;3;somministrazione/minuto;somministrazione;misto;"Pizzeria;Cibi cotti preconfezionati;Bar gastronomici e simili;BAR CAFFÈ";48;bar caffè
"VIA MACCHI MAURO N. 72 ; isolato:003; accesso: accesso esterno; (z.d. 2)";VIA ;MACCHI MAURO;72;2133;2;solo somministrazione;somministrazione;misto;"Bar gastronomici e simili;Cibi cotti preconfezionati;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Tavola fredda;Tavola calda;Tav.calde,self service,fast f.";75;tavola calda
"VIA MACCHI MAURO N. 69 ; isolato:002; accesso: accesso esterno; (z.d. 2)";VIA ;MACCHI MAURO;69;2133;2;solo somministrazione;somministrazione;al tavolo;Trattoria;72;trattoria
"PZA ARGENTINA N. 3 ; isolato:016; accesso: accesso esterno; (z.d. 3)";PZA ;ARGENTINA;3;2233;3;;somministrazione;misto;"BAR CAFFÈ;Bar gastronomici e simili;BAR CAFFÈ E SIMILI;Genere Merceol.Autorizz.Sanit.;Tavola fredda;Giochi Legge 388/2000";38;bar caffè
"PZA ARGENTINA N. 4 ; isolato:019; accesso: accesso esterno; (z.d. 3)";PZA ;ARGENTINA;4;2233;3;solo somministrazione;somministrazione;misto;"BAR CAFFÈ;Cibi cotti preconfezionati;BAR CAFFÈ E SIMILI;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili";44;bar caffè
"VIA MONTEVERDI CLAUDIO N. 15 ; isolato:018; accesso: accesso esterno; (z.d. 3)";VIA ;MONTEVERDI CLAUDIO;15;2237;3;solo somministrazione;somministrazione;self service;"Ristorante;Genere Merceol.Autorizz.Sanit.;Tav.calde,self service,fast f.;BAR CAFFÈ";195;ristorante
"VIA PICCINNI NICOLA N. 27 ; isolato:020; accesso: accesso esterno; (z.d. 3)";VIA ;PICCINNI NICOLA;27;2236;3;solo somministrazione;somministrazione;al banco;"BAR CAFFÈ E SIMILI;Bar gastronomici e simili";38;bar caffè
"VIA PICCINNI NICOLA N. 25 ; isolato:020; accesso: accesso esterno; (z.d. 3)";VIA ;PICCINNI NICOLA;25;2236;3;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Ristorante";88;ristorante
"VIA STRADIVARI ANTONIO N. 1 ; isolato:010; accesso: accesso esterno; (z.d. 3)";VIA ;STRADIVARI ANTONIO;1;2239;3;;somministrazione;al banco;"Bar gastronomici e simili;BAR CAFFÈ E SIMILI;BAR CAFFÈ;Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.";32;bar caffè
"VIA PIERLUIGI GIOVANNI DA PALESTRINA N. 40 ; isolato:001; accesso: accesso esterno; (z.d. 2)";VIA ;PIERLUIGI GIOVANNI DA PALESTRINA;40;2235;2;somministrazione/minuto;somministrazione;misto;"BAR CAFFÈ E SIMILI;Pizzeria;Tavola fredda;Tavola calda;BAR CAFFÈ;Cibi cotti preconfezionati";101;tavola calda
"VIA PIERLUIGI GIOVANNI DA PALESTRINA N. 34 ; isolato:002; accesso: accesso esterno; (z.d. 2)";VIA ;PIERLUIGI GIOVANNI DA PALESTRINA;34;2235;2;solo somministrazione;somministrazione;al tavolo;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Pizzerie e simili;Ristorante, trattoria, osteria;Pizzeria;Tavola calda";60;pizzeria
"VIA PIERLUIGI GIOVANNI DA PALESTRINA N. 9 ; isolato:016; accesso: accesso esterno; (z.d. 3)";VIA ;PIERLUIGI GIOVANNI DA PALESTRINA;9;2235;3;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Ristorante;Genere Merceol.Autorizz.Sanit.";77;ristorante
"VIA PIERLUIGI GIOVANNI DA PALESTRINA N. 1 ; isolato:016; accesso: accesso esterno; (z.d. 3)";VIA ;PIERLUIGI GIOVANNI DA PALESTRINA;1;2235;3;solo somministrazione;somministrazione;al banco;"Cibi cotti preconfezionati;Bar gastronomici e simili;BAR CAFFÈ";33;bar caffè
"VLE DORIA ANDREA N. 44 ; isolato:007; accesso: accesso esterno; (z.d. 3)";VLE ;DORIA ANDREA;44;2230;3;solo somministrazione;somministrazione;misto;"Cucina tipica lombarda;Ristorante;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Bar gastronomici e simili";44;ristorante
"VLE DORIA ANDREA N. 56 interno galleria; isolato:007; accesso: accesso esterno; (z.d. 3)";VLE ;DORIA ANDREA;56;2230;3;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;BAR CAFFÈ E SIMILI;Cibi cotti preconfezionati;BAR CAFFÈ";40;bar caffè
"VIA CARETTA ANNIBALE N. 3 ; isolato:008; accesso: accesso esterno; (z.d. 3)";VIA ;CARETTA ANNIBALE;3;2241;3;solo somministrazione;somministrazione;al tavolo;"Pizzeria;Cibi cotti;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria";41;osteria
"VIA CARETTA ANNIBALE N. 3 ; isolato:008; accesso: accesso esterno; (z.d. 3)";VIA ;CARETTA ANNIBALE;3;2241;3;solo somministrazione;somministrazione;al banco;"BAR CAFFÈ;Tavola fredda;Giochi Leciti;Genere Merceol.Autorizz.Sanit.";29;bar caffè
"VLE BRIANZA N. 35 ; isolato:346; accesso: accesso esterno; (z.d. 2)";VLE ;BRIANZA;35;2263;2;solo somministrazione;somministrazione;misto;"Pizzerie e simili;LETT. GIOCHI LECITI + SOCIETA';Ristorante, trattoria, osteria;Elettr.Automatici Meccaniche;BAR CAFFÈ E SIMILI";138;trattoria
"VIA PERGOLESI GIOVANNI BATTISTA N. 22 ; isolato:014; accesso: accesso esterno; (z.d. 2)";VIA ;PERGOLESI GIOVANNI BATTISTA;22;2231;2;solo somministrazione;somministrazione;misto;"Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;Prodotti di gastronomia;BAR CAFFÈ;Tavola fredda";41;bar caffè
"VLE DELLE RIMEMBRANZE DI LAMBRATE N. 9 ; isolato:113; accesso: accesso esterno; (z.d. 3)";VLE ;DELLE RIMEMBRANZE DI LAMBRATE;9;2664;3;somministrazione/minuto;somministrazione;al banco;"BAR CAFFÈ;Elettr.Automatici Meccaniche";26;bar caffè
"VLE DELLE RIMEMBRANZE DI LAMBRATE N. 35 ; isolato:115; accesso: accesso esterno; (z.d. 3)";VLE ;DELLE RIMEMBRANZE DI LAMBRATE;35;2664;3;solo somministrazione;somministrazione;al banco;"BAR CAFFÈ E SIMILI;Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ";47;bar caffè
"VLE DELLE RIMEMBRANZE DI LAMBRATE N. 7 ; isolato:113; accesso: accesso esterno; (z.d. 3)";VLE ;DELLE RIMEMBRANZE DI LAMBRATE;7;2664;3;solo somministrazione;somministrazione;misto;"BAR CAFFÈ;Trattoria;Ristorante, trattoria, osteria;BAR CAFFÈ E SIMILI";83;trattoria
