Ubicazione;TipoVia;DescrizioneVia;Civico;CodiceVia;ZD;insegna;settore_merceologico;superficie_altri_usi;superficie_totale;superficie_vendita
"VIA TRIBONIANO area scoperta num.242/244; ()";VIA ;TRIBONIANO;;7444;8;;non alimentare;;0;0
VIA DEL MELLA N. 5 (z.d. 7);VIA ;DEL MELLA;5;6416;7;;;;0;0
VIA BENGASI N. 2 (z.d. 1);VIA ;BENGASI;2;2375;2;;;;0;0
VIA LODOVICO IL MORO N. 77 (z.d. 6);VIA ;LODOVICO IL MORO;77;5290;6;;;;0;0
LGO SCALABRINI GIOVANNI BATTISTA N. 2 (z.d. 6);LGO ;SCALABRINI GIOVANNI BATTISTA;2;5392;6;;;;0;0
VIA PIACENZA N. 12 (z.d. 5);VIA ;PIACENZA;12;4064;5;;;;0;0
VIA MENOTTI CIRO N. 14 (z.d. 3);VIA ;MENOTTI CIRO;14;3184;3;;;;0;0
VIA LEONCAVALLO RUGGERO N. 10 (z.d. 3);VIA ;LEONCAVALLO RUGGERO;10;2389;3;;;;0;0
CSO VERCELLI N. 5 (z.d. 7);CSO ;VERCELLI;5;6193;7;;non alimentare;;0;0
VIA MORGANTINI MARIO N. 13 (z.d. 7);VIA ;MORGANTINI MARIO;13;6568;7;;"alimentare;non alimentare";;0;0
"CSO SEMPIONE strada statale-(in cassaforte) num.000; ()";;;;;;;non alimentare;;0;0
VIA HERMADA N. 4 (z.d. 9);VIA ;HERMADA;4;1588;9;;non alimentare;;;0
"VIA PETRELLA ERRICO N. 21 ; isolato:032; accesso: accesso esterno; (z.d. 3)";VIA ;PETRELLA ERRICO;21;2137;3;euroasian snc.;non alimentare;;0;0
"VIA MASCHERONI LORENZO N. 20 ; isolato:180; (z.d. 1)";VIA ;MASCHERONI LORENZO;20;6183;1;;non alimentare;;;0
"VIA PALMANOVA num.213/a; isolato:245; (z.d. 2)";;;;;;;non alimentare;;0;0
"VIA DE AMICIS EDMONDO N. 33 ;via de amicis edmondo 033; isolato:457; accesso: accesso esterno; (z.d. 1)";VIA ;DE AMICIS EDMONDO;33;574;1;;non alimentare;;0;0
"VIA BATTAGLIA NATALE N. 25 www.eurospace.it; isolato:355; (z.d. 2)";VIA ;BATTAGLIA NATALE;25;2268;2;www.eurospace.it;non alimentare;;0;0
"VIA CADORE N. 29 www.lavazzi.it/lasportina.it; isolato:073; (z.d. 4)";VIA ;CADORE;29;3077;4;;non alimentare;;0;0
VLE PIAVE N. 1 (z.d. 1);VLE ;PIAVE;1;2179;1;;non alimentare;;0;0
"VIA MOROSINI EMILIO N. 36 vendita x telefono 0257968901; isolato:095; (z.d. 4)";VIA ;MOROSINI EMILIO;36;3073;4;;non alimentare;;0;0
"VIA PISANI VITTOR N. 16 www.buyepson.it; isolato:068; (z.d. 2)";VIA ;PISANI VITTOR;16;1201;2;via internet;non alimentare;;0;0
"CSO VENTIDUE MARZO N. 22 ; isolato:047; accesso: accesso esterno; (z.d. 4)";CSO ;VENTIDUE MARZO;22;3074;4;il videofonino srl.;non alimentare;;0;0
"VLE DORIA ANDREA num.000; ()";;;;;;bevande e alimenti;alimentare;;0;0
"VIA CARDINALE MEZZOFANTI 7.4.08 tras.set.agricoltura num.022; isolato:208; ()";;;;;;produttore agricolo;;;0;0
"VLE TROYA CARLO N. 23 7.4.08 tras.sett.agricoltura; isolato:029; (z.d. 6)";VLE ;TROYA CARLO;23;5140;6;produttore agricolo;;;0;0
VIA AIRAGHI GAETANO N. 49 (z.d. 7);VIA ;AIRAGHI GAETANO;49;6330;7;;;;0;0
VIA LARGA N. 12 (z.d. 1);VIA ;LARGA;12;318;1;;;;0;0
"VIA AIRAGHI GAETANO N. 49 produttore agricolo; (z.d. 7)";VIA ;AIRAGHI GAETANO;49;6330;7;;;;0;0
"VIA TRIVULZIO ANTONIO TOLOMEO N. 15 c\o pio albergo trivulzio; isolato:014; (z.d. 7)";VIA ;TRIVULZIO ANTONIO TOLOMEO;15;6277;7;;non alimentare;;0;0
"VIA DELLA FERRERA N. 8 altri sistemi di comunicazione; isolato:037; (z.d. 6)";VIA ;DELLA FERRERA;8;5451;6;;non alimentare;;0;0
"VIA SIGIERI GOFFREDO N. 10 altri sistemi di comunicazione; isolato:166; (z.d. 4)";VIA ;SIGIERI GOFFREDO;10;4080;4;;non alimentare;;0;0
"VIA POLLAK LEOPOLDO N. 3 7.4.08 tras.set.agricoltura; isolato:129; (z.d. 7)";VIA ;POLLAK LEOPOLDO;3;6853;7;;;;0;0
"CSO MAGENTA N. 12 7.4.08 tras.set.agricoltura;cso magenta 012; isolato:291; (z.d. 1)";CSO ;MAGENTA;12;604;1;produttore agricolo;;;0;0
"VIA SELVANESCO N. 25 7.4.08 tras.set. agricoltura; isolato:202; (z.d. 5)";VIA ;SELVANESCO;25;4350;5;produttore agricolo;;;0;0
"VIA RIPAMONTI GIUSEPPE N. 549 7.4.08 tras.set.agricoltura; isolato:501; (z.d. 5)";VIA ;RIPAMONTI GIUSEPPE;549;4066;5;produttore agricolo;;;0;0
"CSO DI PORTA ROMANA N. 107 tramite altri sistemi di comun; isolato:038; (z.d. 1)";CSO ;DI PORTA ROMANA;107;402;1;;non alimentare;;0;0
VIA RIPAMONTI GIUSEPPE N. 436 (z.d. 5);VIA ;RIPAMONTI GIUSEPPE;436;4066;5;produttore agricolo;;;0;0
"VIA GUERZONI GIUSEPPE 7.4.08 tras.set.agricoltura num.000; ()";VIA ;GUERZONI GIUSEPPE;;1286;9;produttore agricolo;;;0;0
"VIA SAFFI AURELIO N. 29 sede oper.:v.bergamina n1-pero; isolato:145; (z.d. 1)";VIA ;SAFFI AURELIO;29;6159;1;;non alimentare;;0;0
"VIA GOZZOLI BENOZZO 7.4.08 tras.sett.agricoltura num.097/a; isolato:255; (z.d. 7)";;;;;;;;;0;0
"VIA SETTALA LODOVICO N. 8 s.op. mantova; isolato:122; (z.d. 3)";VIA ;SETTALA LODOVICO;8;2111;3;;non alimentare;;0;0
